d,p_last,p_block,rounds,recovery_rate,frac_wrong_unanimity,refetches_per_block,refetches_per_session,attempts_per_block,worst_case_attempts
2,0.01,0.0001,10,1.0,0.0,0.030935,0.30935,1.030935,5
2,0.01,0.001,10,1.0,0.0,0.03393,0.3393,1.03393,5
2,0.01,0.002,10,1.0,0.0,0.03708,0.3708,1.03708,5
2,0.01,0.005,10,1.0,0.0,0.046485,0.46485,1.046485,5
2,0.01,0.01,10,1.0,0.0,0.062705,0.62705,1.062705,5
2,0.02,0.0001,10,0.99995,5e-05,0.062805,0.62805,1.062805,5
2,0.02,0.001,10,1.0,0.0,0.065675,0.65675,1.065675,5
2,0.02,0.002,10,1.0,0.0,0.06905,0.6905,1.06905,5
2,0.02,0.005,10,1.0,0.0,0.078995,0.78995,1.078995,5
2,0.02,0.01,10,1.0,0.0,0.095915,0.95915,1.095915,5
2,0.03,0.0001,10,0.99995,5e-05,0.09605,0.9605,1.09605,5
2,0.03,0.001,10,1.0,0.0,0.099445,0.99445,1.099445,5
2,0.03,0.002,10,1.0,0.0,0.102665,1.02665,1.102665,5
2,0.03,0.005,10,1.0,0.0,0.11338,1.1338,1.11338,6
2,0.03,0.01,10,1.0,0.0,0.13075,1.3075,1.13075,6
2,0.04,0.0001,10,1.0,0.0,0.13104,1.3104,1.13104,6
2,0.04,0.001,10,1.0,0.0,0.13429,1.3429,1.13429,6
2,0.04,0.002,10,1.0,0.0,0.13812,1.3812,1.13812,7
2,0.04,0.005,10,1.0,0.0,0.14919,1.4919,1.14919,7
2,0.04,0.01,10,1.0,0.0,0.166935,1.66935,1.166935,7
2,0.05,0.0001,10,1.0,0.0,0.16708,1.6708,1.16708,7
2,0.05,0.001,10,1.0,0.0,0.170765,1.70765,1.170765,7
2,0.05,0.002,10,0.99995,5e-05,0.17438,1.7438,1.17438,7
2,0.05,0.005,10,0.99995,5e-05,0.185375,1.85375,1.185375,7
2,0.05,0.01,10,0.9999,0.0001,0.204795,2.04795,1.204795,7
2,0.06,0.0001,10,0.9999,0.0001,0.20513,2.0513,1.20513,8
2,0.06,0.001,10,0.9999,0.0001,0.208535,2.08535,1.208535,7
2,0.06,0.002,10,0.9999,0.0001,0.212075,2.12075,1.212075,7
2,0.06,0.005,10,0.99995,5e-05,0.223875,2.23875,1.223875,7
2,0.06,0.01,10,0.99995,5e-05,0.24258,2.4258,1.24258,8
2,0.07,0.0001,10,0.9999,0.0001,0.24286,2.4286,1.24286,8
2,0.07,0.001,10,0.9999,0.0001,0.24613,2.4613,1.24613,8
2,0.07,0.002,10,0.9999,0.0001,0.25037,2.5037,1.25037,9
2,0.07,0.005,10,0.9999,0.0001,0.26219,2.6219,1.26219,9
2,0.07,0.01,10,0.99995,5e-05,0.282595,2.82595,1.282595,9
2,0.08,0.0001,10,0.9999,0.0001,0.283235,2.83235,1.283235,9
2,0.08,0.001,10,0.9999,0.0001,0.28682,2.8682,1.28682,9
2,0.08,0.002,10,0.9999,0.0001,0.29114,2.9114,1.29114,9
2,0.08,0.005,10,0.99985,0.00015,0.3035,3.035,1.3035,9
2,0.08,0.01,10,0.99995,5e-05,0.325555,3.25555,1.325555,9
2,0.09,0.0001,10,0.99985,0.00015,0.326285,3.26285,1.326285,9
2,0.09,0.001,10,0.9998,0.0002,0.330385,3.30385,1.330385,9
2,0.09,0.002,10,0.9998,0.0002,0.334695,3.34695,1.334695,9
2,0.09,0.005,10,0.9998,0.0002,0.3469,3.469,1.3469,11
2,0.09,0.01,10,0.99985,0.00015,0.370905,3.70905,1.370905,9
2,0.1,0.0001,10,0.99975,0.00025,0.3712,3.712,1.3712,11
2,0.1,0.001,10,0.99975,0.00025,0.375035,3.75035,1.375035,11
2,0.1,0.002,10,0.99975,0.00025,0.37975,3.7975,1.37975,11
2,0.1,0.005,10,0.9998,0.0002,0.39262,3.9262,1.39262,11
2,0.1,0.01,10,0.99985,0.00015,0.417265,4.17265,1.417265,9
2,0.15,0.0001,10,0.99915,0.00085,0.628275,6.28275,1.628275,14
2,0.15,0.001,10,0.9991,0.0009,0.63338,6.3338,1.63338,14
2,0.15,0.002,10,0.99905,0.00095,0.63876,6.3876,1.63876,14
2,0.15,0.005,10,0.99905,0.00095,0.656065,6.56065,1.656065,14
