stage,digit,trials,monitor_a,monitor_b,monitor_c,quantity,temp_c,vref_v
1,1,1,1.4142,1.4141,1.4143,residuo reescalado (V),23.1,2.50003
2,6,8,7.0911,8.7531,0.1845,ruido (controle),23.33,2.50012
3,1,6,7.772,2.6053,3.1422,ruido (controle),23.36,2.49988
4,5,9,4.5315,6.9215,4.6579,ruido (controle),23.3,2.50013
5,7,9,0.594,7.0285,7.5041,ruido (controle),23.17,2.4997
6,3,6,0.3178,3.0455,7.1283,ruido (controle),23.26,2.50021
7,7,6,5.2941,6.3566,0.1715,ruido (controle),23.32,2.49989
8,2,8,7.0743,2.4464,1.5803,ruido (controle),23.33,2.49985
9,4,11,5.266,0.9408,7.3,ruido (controle),22.89,2.50006
10,1,6,4.5131,6.4495,7.3224,ruido (controle),22.97,2.50021
11,6,9,3.6313,3.9262,0.0739,ruido (controle),23.22,2.49985
12,0,11,4.9836,6.0889,0.2606,ruido (controle),23.03,2.50001
13,8,11,2.6564,7.8932,5.5103,ruido (controle),23.06,2.50012
14,1,11,8.1455,7.6883,3.8615,ruido (controle),22.95,2.49999
15,0,8,1.2553,8.4764,3.1008,ruido (controle),23.1,2.5
16,8,10,5.3711,0.271,4.98,ruido (controle),23.41,2.49998
17,4,11,7.3387,3.9887,3.595,ruido (controle),23.06,2.4999
18,2,9,7.7449,4.7527,6.5315,ruido (controle),23.29,2.50013
19,5,6,1.1964,4.5861,0.8287,ruido (controle),22.66,2.50003
20,7,5,1.6813,7.2276,0.7429,ruido (controle),23.64,2.50005
21,8,5,2.0801,5.3284,7.2523,ruido (controle),23.01,2.50008
22,7,6,6.0055,0.878,2.0004,ruido (controle),23.59,2.50015
23,9,10,5.3857,2.2114,8.6017,ruido (controle),22.96,2.50006
24,2,10,2.0178,4.1587,4.868,ruido (controle),23.08,2.50009
25,4,9,0.1193,3.6668,5.5069,ruido (controle),23.79,2.50013
