stage,digit,trials,monitor_a,monitor_b,monitor_c,quantity,temp_c,vref_v
1,1,1,5.4375,5.4366,5.4367,residuo reescalado (V),22.86,2.50002
2,4,1,3.9504,3.9494,3.9495,residuo reescalado (V),22.34,2.49991
3,1,1,2.4555,2.4557,2.4562,residuo reescalado (V),23.32,2.5
4,4,1,3.5361,3.5366,3.5349,residuo reescalado (V),22.98,2.49997
5,2,1,4.3541,4.3547,4.3555,residuo reescalado (V),23.34,2.50028
6,1,1,4.7738,4.7732,4.7738,residuo reescalado (V),22.92,2.49998
7,3,1,3.7673,3.7657,3.7645,residuo reescalado (V),22.63,2.49995
8,5,1,3.0315,3.0333,3.0314,residuo reescalado (V),22.94,2.50001
9,6,1,3.7355,3.7346,3.7345,residuo reescalado (V),22.99,2.50028
10,2,1,8.7736,8.7728,8.7743,residuo reescalado (V),23.17,2.50013
11,3,1,2.0147,2.0154,2.0156,residuo reescalado (V),23.32,2.5
12,7,1,1.5541,1.5544,1.5536,residuo reescalado (V),22.66,2.49998
13,3,1,8.5763,8.5767,8.5764,residuo reescalado (V),23.66,2.5
14,0,1,2.2675,2.2669,2.2693,residuo reescalado (V),22.86,2.50003
15,9,1,4.0359,4.0345,4.0356,residuo reescalado (V),22.79,2.49988
16,5,1,5.0813,5.08,5.0792,residuo reescalado (V),23.82,2.50009
17,0,1,8.1481,8.1479,8.1469,residuo reescalado (V),23.25,2.5001
18,4,1,8.1454,8.1451,8.1468,residuo reescalado (V),22.47,2.49988
19,8,1,6.1317,6.1319,6.1292,residuo reescalado (V),23.17,2.49993
20,8,1,3.3856,3.3851,3.3853,residuo reescalado (V),23.33,2.49969
21,0,1,2.1923,2.1917,2.1922,residuo reescalado (V),22.62,2.49995
22,1,1,1.3529,1.3533,1.3518,residuo reescalado (V),22.51,2.50009
23,6,1,3.634,3.6351,3.6342,residuo reescalado (V),22.69,2.50012
24,8,1,5.7294,5.7304,5.7306,residuo reescalado (V),22.76,2.50004
25,8,1,8.1325,8.134,8.1336,residuo reescalado (V),22.94,2.50007
26,7,1,5.2774,5.2783,5.2773,residuo reescalado (V),23.0,2.50016
27,2,1,1.4988,1.4979,1.4987,residuo reescalado (V),22.72,2.49972
28,4,1,7.5394,7.5408,7.5388,residuo reescalado (V),22.71,2.50008
29,2,1,6.1625,6.1598,6.1604,residuo reescalado (V),22.72,2.50002
30,0,1,8.7793,8.7799,8.7792,residuo reescalado (V),23.12,2.49985
31,9,1,1.9323,1.9319,1.9318,residuo reescalado (V),23.08,2.49994
32,6,1,3.0162,3.0143,3.013,residuo reescalado (V),22.95,2.49984
33,9,1,6.7178,6.7158,6.7156,residuo reescalado (V),22.84,2.49997
34,8,1,4.7329,4.7322,4.733,residuo reescalado (V),23.39,2.50001
35,0,1,3.8958,3.8948,3.8958,residuo reescalado (V),22.65,2.50001
36,7,1,6.2399,6.2412,6.2404,residuo reescalado (V),22.72,2.49992
37,8,1,2.6734,2.6731,2.6727,residuo reescalado (V),22.55,2.50011
38,5,1,6.9915,6.9927,6.9918,residuo reescalado (V),23.4,2.5
39,6,1,5.7646,5.764,5.7616,residuo reescalado (V),22.99,2.49993
40,9,1,7.6145,7.6167,7.6166,residuo reescalado (V),23.31,2.50008
41,6,1,6.7837,6.7828,6.7838,residuo reescalado (V),22.75,2.49989
42,7,1,6.2873,6.287,6.2879,residuo reescalado (V),22.69,2.49995
43,1,1,3.2431,3.243,3.2422,residuo reescalado (V),23.33,2.50005
44,8,1,1.3576,1.3557,1.3573,residuo reescalado (V),22.62,2.50021
45,7,1,7.7517,7.7521,7.7519,residuo reescalado (V),23.35,2.50002
46,5,1,4.843,4.8445,4.8436,residuo reescalado (V),22.74,2.50019
47,3,1,4.8082,4.8098,4.807,residuo reescalado (V),22.57,2.49999
48,7,1,6.6934,6.6923,6.6922,residuo reescalado (V),22.46,2.49987
